"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"84","pareto","1.8","300","levy","2641","46","4.874525930368257","37.5047384128382"
"85","pareto","1.84","300","levy","2637","11","3.0091544204550784","51.996052573133944"
"87","pareto","1.84","300","levy","2514","56","8.033257808067287","47.86451083663355"
"86","pareto","1.84","300","levy","3077","41","6.863054119866382","39.47637017051158"
"88","pareto","1.84","300","levy","2810","168","14.719717675109354","40.39023522890769"
"89","pareto","1.88","300","levy","2813","39","6.851985724806644","48.486194883289286"
"90","pareto","1.88","300","levy","2973","36","7.637805461165078","43.037209428766765"
"92","pareto","1.88","300","levy","2324","1","0","0"
"91","pareto","1.88","300","levy","2779","18","2.614002855305478","35.71186470957359"
"93","pareto","1.92","300","levy","2302","26","7.2963557139445445","48.34887726459694"
"94","pareto","1.92","300","levy","2833","30","7.195724273725769","51.086462864404865"
"95","pareto","1.92","300","levy","2489","34","6.670371389620767","41.53601281543797"
"96","pareto","1.92","300","levy","2407","2","0.5389694461891841","31.385621238284315"
"97","pareto","1.96","300","levy","2343","60","8.829319635164952","52.27610172447948"
"99","pareto","1.96","300","levy","2669","22","4.0627925512862255","34.25893493866077"
"98","pareto","1.96","300","levy","2497","7","1.105213526325576","24.84352591248411"
"101","pareto","2","300","levy","2256","6","3.175857486457824","42.792909327532755"
"100","pareto","1.96","300","levy","2641","35","5.401774850532414","37.607154991106825"
"102","pareto","2","300","levy","2884","31","6.772165324838047","39.71337888486273"
"104","pareto","2","300","levy","2617","4","2.5683644459545856","60.480207639293695"
"103","pareto","2","300","levy","3181","9","3.4659943741768755","53.47372423773328"
"105","pareto","2.04","300","levy","2594","14","5.029612476127104","68.99110231090582"
"107","pareto","2.04","300","levy","2543","40","8.144994833855506","47.164843568490205"
"106","pareto","2.04","300","levy","3038","5","1.805915370787348","50.35620318643623"
"108","pareto","2.04","300","levy","2502","24","5.7477172296137","45.59166853715002"
"109","pareto","2.08","300","levy","2314","29","7.813401240590688","53.47050945725599"
"111","pareto","2.08","300","levy","2227","54","7.874439703831188","42.276045221192554"
"112","pareto","2.08","300","levy","2187","42","5.6834346786754715","40.66571191739293"
"110","pareto","2.08","300","levy","2737","36","4.757710458293184","41.52563277748495"
"113","pareto","2.12","300","levy","2447","33","5.598616523471772","47.00385632945017"
"114","pareto","2.12","300","levy","2366","10","3.653415218231376","50.12549853191521"
"115","pareto","2.12","300","levy","2225","81","9.714445041431453","47.70161153056325"
"118","pareto","2.16","300","levy","2156","11","3.2742930050926162","53.797030848562045"
"117","pareto","2.16","300","levy","2359","16","4.398888106507412","50.51836184649179"
"119","pareto","2.16","300","levy","2339","19","5.524714006753701","57.343599578642774"
"116","pareto","2.12","300","levy","2865","77","8.64291740515785","48.97971782274295"
"121","pareto","2.2","300","levy","2616","49","7.291607848407649","44.37533486867428"
"120","pareto","2.16","300","levy","2625","33","5.463166259470681","47.45746150358153"
"123","pareto","2.2","300","levy","2137","3","0.8190467330149769","25.54014731636662"
"124","pareto","2.2","300","levy","2135","6","1.2293325275183227","32.33331933895773"
"122","pareto","2.2","300","levy","2819","19","5.8165008819914625","55.27755525090666"
"125","pareto","2.24","300","levy","2331","4","1.6985283094867727","65.44124182936284"
"128","pareto","2.24","300","levy","2364","9","4.057022553527421","77.18902502463484"
"126","pareto","2.24","300","levy","2754","63","7.2552645265424225","54.48127989550844"
"127","pareto","2.24","300","levy","2560","15","3.4390176075067096","58.701550084922296"
"129","pareto","2.28","300","levy","2380","21","4.330772689251807","48.53438830258614"
"130","pareto","2.28","300","levy","2140","8","2.435879369359167","35.58789236673711"
"131","pareto","2.28","300","levy","2583","14","4.155421650444634","43.21949831375964"
"132","pareto","2.28","300","levy","2193","5","2.070555256029998","51.74879917424579"
"134","pareto","2.32","300","levy","2204","47","7.414459280371624","44.324638223167966"
"136","pareto","2.32","300","levy","2278","41","8.15441014578966","53.60239387470447"
"135","pareto","2.32","300","levy","2578","2","0.7353459536706546","54.65564717156412"
"133","pareto","2.32","300","levy","2764","22","6.473923228175401","50.69559287423697"
"137","pareto","2.36","300","levy","2110","1","0","0"
"138","pareto","2.36","300","levy","1889","9","1.9198922362040918","45.89328570106094"
"139","pareto","2.36","300","levy","2088","44","6.400216257333685","49.67295223089028"
"141","pareto","2.4","300","levy","1983","1","0","0"
"140","pareto","2.36","300","levy","2118","64","8.176400247183288","57.35565970575505"
"142","pareto","2.4","300","levy","2116","6","2.7315046092112008","54.310160136056126"
"143","pareto","2.4","300","levy","2040","9","3.2652882378166117","48.96208375586468"
"144","pareto","2.4","300","levy","2326","23","5.667072168499729","59.820046249597446"
"146","pareto","2.44","300","levy","2044","19","4.97527405610807","47.86036254894747"
"147","pareto","2.44","300","levy","2384","25","5.549831446962415","53.11845380073144"
"148","pareto","2.44","300","levy","2196","12","5.023950563547492","57.2201710179809"
"145","pareto","2.44","300","levy","2957","46","7.92449804760588","54.74691225396965"
"149","pareto","2.48","300","levy","2130","23","6.550264585255151","53.787641415948954"
"150","pareto","2.48","300","levy","2242","14","5.065222566332977","60.345749587633904"
