"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"448","lognormal","1","95","levy","13796","1423","15.023231285638055","12.139674113693504"
"444","lognormal","1","90","levy","22588","1535","16.92582798361257","11.920122208970938"
"449","lognormal","1","100","levy","14498","883","17.834833727651873","12.426961084821542"
"450","lognormal","1","100","levy","14907","1084","12.667411609202148","12.568809155615998"
"402","cauchy","1","295","levy","2524","1","0","0"
"451","lognormal","1","100","levy","12811","1189","12.411199582570752","12.22960523880098"
"452","lognormal","1","100","levy","15877","917","12.293903042348141","12.271405095295131"
"453","lognormal","1","105","levy","13018","919","13.27652716334072","12.802234139404925"
"454","lognormal","1","105","levy","13953","781","14.002337114780211","12.81492241431261"
"455","lognormal","1","105","levy","13107","585","10.792365731148813","12.776222234525855"
"457","lognormal","1","110","levy","12193","553","11.825427522504203","13.330453407936602"
"456","lognormal","1","105","levy","16076","886","10.114519021083417","12.836764356870853"
"458","lognormal","1","110","levy","11634","940","13.123620602098438","12.855140596512468"
"459","lognormal","1","110","levy","11550","686","13.447505094033204","12.550642388275257"
"460","lognormal","1","110","levy","13966","1019","13.52177176413386","13.41778162484886"
"461","lognormal","1","115","levy","16918","1068","13.859787452406238","13.554948561692912"
"463","lognormal","1","115","levy","11690","1048","12.67333875586754","12.92309914975084"
"464","lognormal","1","115","levy","12919","778","11.749279237980772","13.577781566904708"
"465","lognormal","1","120","levy","13735","1104","11.234078697770393","13.467107377551716"
"466","lognormal","1","120","levy","10214","897","12.557479704064267","13.84075525308233"
"462","lognormal","1","115","levy","13631","1063","12.039314081048872","13.257548989970525"
"467","lognormal","1","120","levy","11550","1099","13.213517286020764","13.805393840607495"
"468","lognormal","1","120","levy","10495","905","11.539613651768892","13.237007249782653"
"469","lognormal","1","125","levy","10510","681","14.507659572964684","14.29628330804295"
"471","lognormal","1","125","levy","12144","1144","14.254575503861808","13.87741476737834"
"470","lognormal","1","125","levy","12785","919","10.521874716948005","14.230537541701542"
"472","lognormal","1","125","levy","12709","798","14.015556482667947","13.920365582048742"
"473","lognormal","1","130","levy","11671","981","13.986606217096718","14.462534899694141"
"475","lognormal","1","130","levy","11596","958","16.563070394209973","14.194337826019806"
"474","lognormal","1","130","levy","13733","1100","16.44614604362237","14.240933387624947"
"476","lognormal","1","130","levy","10522","1015","12.654726762742339","14.4376482767768"
"477","lognormal","1","135","levy","9285","1092","15.061081916899695","14.619250202771683"
"478","lognormal","1","135","levy","11299","1003","12.668432279454883","14.393314116426783"
"479","lognormal","1","135","levy","11386","1100","15.371397025689703","14.7441136796278"
"482","lognormal","1","140","levy","10805","798","12.667962520179302","15.448313207531402"
"480","lognormal","1","135","levy","12166","675","14.767693026931745","14.482612739666537"
"483","lognormal","1","140","levy","11743","1069","13.198255484642122","14.471344746368374"
"481","lognormal","1","140","levy","13661","1101","11.486061016334482","14.621961910060994"
"484","lognormal","1","140","levy","11486","702","11.869684519755545","14.577505678591226"
