"[run number]","dist-for-first","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"59","uniform","1.56","300","Discrete directions, continuous step","3991","655","5.278045771191323","26.18022001137039"
"60","uniform","1.56","300","Discrete directions, continuous step","4308","487","5.49459216273695","27.046766685315273"
"61","uniform","1.6","300","Discrete directions, continuous step","3658","581","6.795535779872374","28.324314106891382"
"63","uniform","1.6","300","Discrete directions, continuous step","3932","494","7.487667171168503","28.170249381294603"
"62","uniform","1.6","300","Discrete directions, continuous step","4354","553","6.442935375642882","27.64997181680362"
"65","uniform","1.64","300","Discrete directions, continuous step","4240","493","7.735335012565564","29.33266813110129"
"64","uniform","1.6","300","Discrete directions, continuous step","5079","334","4.842689999164442","28.198258579075148"
"66","uniform","1.64","300","Discrete directions, continuous step","4084","496","4.680889290944123","28.117034477178702"
"67","uniform","1.64","300","Discrete directions, continuous step","3906","552","4.567470566630554","29.558901543291643"
"69","uniform","1.68","300","Discrete directions, continuous step","4095","458","5.1377058018542066","30.84946363242053"
"70","uniform","1.68","300","Discrete directions, continuous step","4134","494","5.81387033895048","29.923716648656278"
"71","uniform","1.68","300","Discrete directions, continuous step","4525","442","6.9558740749302","30.86374658451772"
"72","uniform","1.68","300","Discrete directions, continuous step","4563","478","5.122622854392667","30.123297965077345"
"68","uniform","1.64","300","Discrete directions, continuous step","5754","390","3.2725538284694196","28.185107457855853"
"73","uniform","1.72","300","Discrete directions, continuous step","4062","509","5.6946699264007705","29.370491601655075"
"74","uniform","1.72","300","Discrete directions, continuous step","3933","441","7.145751274711216","30.177510351929886"
"75","uniform","1.72","300","Discrete directions, continuous step","4324","600","7.466343981475042","30.426318534133085"
"77","uniform","1.76","300","Discrete directions, continuous step","3627","370","6.183798700130961","31.048101074842787"
"79","uniform","1.76","300","Discrete directions, continuous step","4010","375","5.665377047617046","30.701638238515024"
"76","uniform","1.72","300","Discrete directions, continuous step","5083","542","5.003034458779595","30.835732034225206"
"78","uniform","1.76","300","Discrete directions, continuous step","4441","413","6.071436410621203","30.85315670660946"
